date,leg,regime,epsilon
2010-04-02,NFP,neg,-8.354231596616069
2010-04-14,CPI,neg,-0.538985107676944
2010-05-07,NFP,neg,0.4715397603612969
2010-05-19,CPI,neg,0.44227727165509845
2010-06-04,NFP,neg,-1.447218414710891
2010-06-17,CPI,neg,0.44130149612369546
2010-07-02,NFP,neg,0.2922377267991419
2010-07-16,CPI,neg,-1.9731743690427248
2010-08-06,NFP,neg,-1.070868559391752
2010-08-13,CPI,neg,0.16960820941857618
2010-09-03,NFP,neg,-0.12423193720038396
2010-09-17,CPI,neg,1.6508912600067893
2010-10-01,NFP,neg,-0.5572770844608479
2010-10-15,CPI,neg,-0.7663412725440831
2010-11-05,NFP,neg,-0.519358055899861
2010-11-17,CPI,neg,0.005748908460563679
2010-12-03,NFP,neg,0.5623139799306951
2010-12-15,CPI,neg,0.11576439788744619
2011-01-07,NFP,neg,0.4865155612881482
2011-01-14,CPI,neg,-0.10338032655599183
2011-02-04,NFP,neg,0.19939416537808935
2011-02-17,CPI,neg,4.077311977431167
2011-03-04,NFP,neg,0.000628095003461098
2011-03-17,CPI,neg,-0.09216807027868021
2011-04-01,NFP,neg,0.42165733815460416
2011-04-15,CPI,neg,2.5529796078216638
2011-05-06,NFP,neg,0.751256380075939
2011-05-13,CPI,neg,0.019821837871002994
2011-06-03,NFP,neg,0.28686977239273354
2011-06-15,CPI,neg,-3.8315454056969034
2011-07-01,NFP,neg,0.26782173435352985
2011-07-15,CPI,neg,2.9548076049190612
2011-08-05,NFP,neg,0.41892185607488164
2011-08-18,CPI,neg,-7.246482152894947
2011-09-02,NFP,neg,-1.1826256822929693
2011-09-15,CPI,neg,-0.4906546511118446
2011-10-07,NFP,neg,0.38977968565239257
2011-10-19,CPI,neg,0.249074958610734
2011-11-04,NFP,neg,0.39223168303057404
2011-11-16,CPI,neg,-0.2663639646182899
2011-12-02,NFP,neg,0.14351919726331108
2011-12-16,CPI,neg,1.2461585249572553
2012-01-06,NFP,neg,0.5573515350083885
2012-01-19,CPI,neg,-1.0118387316741413
2012-02-03,NFP,neg,-2.277659313108006
2012-02-17,CPI,neg,0.5680177235865207
2012-03-02,NFP,neg,-0.6476448071820837
2012-03-16,CPI,neg,0.5779569899259753
2012-04-06,NFP,neg,-3.0649792040389743
2012-04-13,CPI,neg,-0.4374409125432549
2012-05-04,NFP,neg,-3.9859862376916344
2012-05-15,CPI,neg,0.7856726882199693
2012-06-01,NFP,neg,-1.5666028911313443
2012-06-14,CPI,neg,0.3613348230124872
2012-07-06,NFP,neg,-1.108883336332404
2012-07-17,CPI,neg,-0.08046715038461343
2012-08-03,NFP,neg,-3.5740042922573916
2012-08-15,CPI,neg,-3.934114391308644
2012-09-07,NFP,neg,0.5597901931995128
2012-09-14,CPI,neg,-0.10254230686338736
2012-10-05,NFP,neg,0.4432678261473363
2012-10-16,CPI,neg,-1.032047490031328
2012-11-02,NFP,neg,-0.004840045288800615
2012-11-15,CPI,neg,0.10358323998213936
2012-12-07,NFP,neg,-0.4136567721276707
2012-12-14,CPI,neg,-0.40134953071309903
2013-01-04,NFP,neg,0.2535863760564414
2013-01-16,CPI,neg,-1.887483930739032
2013-02-01,NFP,neg,0.20003093968665267
2013-02-21,CPI,neg,0.048505034840078086
2013-03-01,NFP,neg,0.22996404094566084
2013-03-15,CPI,neg,0.7585214767865499
2013-04-05,NFP,neg,0.15979552787086662
2013-04-16,CPI,neg,-0.05914953460622586
2013-05-03,NFP,neg,-2.0818789916053837
2013-05-16,CPI,neg,-0.3334363044162738
2013-06-07,NFP,neg,-0.3537524543055037
2013-06-18,CPI,neg,0.7484275018965579
2013-07-05,NFP,pos,-5.068669666835938
2013-07-16,CPI,pos,-0.5803887789712706
2013-08-02,NFP,pos,1.3716585464114552
2013-08-15,CPI,pos,2.481471161773152
2013-09-06,NFP,pos,0.3579461188178133
2013-09-17,CPI,pos,-0.7740944463143181
2013-10-04,NFP,pos,-0.1595821599781267
2013-10-30,CPI,pos,2.0412443106831875
2013-11-01,NFP,pos,-0.5438421869860052
2013-11-20,CPI,pos,7.538428903175497
2013-12-06,NFP,neg,3.3713508387617193
2013-12-17,CPI,pos,-0.39470554715594947
2014-01-03,NFP,pos,0.48013435110862207
2014-01-16,CPI,pos,0.15103712412377046
2014-02-07,NFP,neg,1.2520158386791451
2014-02-20,CPI,neg,-1.8985122972890298
2014-03-07,NFP,neg,0.6999339842288788
2014-03-18,CPI,neg,0.7034014928831871
2014-04-04,NFP,neg,-5.472059492815839
2014-04-15,CPI,neg,0.6549467036089645
2014-05-02,NFP,neg,-1.151250705218486
2014-05-15,CPI,neg,-0.5243464440138065
2014-06-06,NFP,neg,-0.004582401904178901
2014-06-17,CPI,neg,-1.668918715501283
2014-07-04,NFP,neg,0.5620727803245518
2014-07-22,CPI,neg,0.5598485594263775
2014-08-01,NFP,neg,-0.44764909127651575
2014-08-19,CPI,neg,0.34067212509665246
2014-09-05,NFP,neg,2.6430650763270354
2014-09-17,CPI,neg,-0.5719338052320169
2014-10-03,NFP,neg,0.44675380761078676
2014-10-22,CPI,neg,0.17025429311889062
2014-11-07,NFP,neg,-0.17605462126875032
2014-11-20,CPI,neg,0.2099856436154271
2014-12-05,NFP,neg,-0.06962304061693962
2014-12-17,CPI,neg,-5.943696992795499
2015-01-02,NFP,neg,-0.8719018610112753
2015-01-16,CPI,neg,-1.4151945964517587
2015-02-06,NFP,neg,0.615856303808536
2015-02-26,CPI,neg,-0.23196307504653596
2015-03-06,NFP,neg,13.628638726155133
2015-03-24,CPI,neg,0.24632853124826995
2015-04-03,NFP,neg,-2.24751506916683
2015-04-17,CPI,neg,-1.3007533657975912
2015-05-01,NFP,neg,-2.2850634214108148
2015-05-22,CPI,pos,-0.06655737174057742
2015-06-05,NFP,neg,1.2100739750972875
2015-06-18,CPI,neg,-1.634539342073674
2015-07-03,NFP,neg,0.5677132152444089
2015-07-17,CPI,neg,-0.4755491318581536
2015-08-07,NFP,neg,-0.28413341473207343
2015-08-19,CPI,neg,-8.303494948145085
2015-09-04,NFP,neg,-0.22459190286633704
2015-09-16,CPI,neg,0.557960071306415
2015-10-02,NFP,neg,1.236307829491738
2015-10-15,CPI,neg,-2.563945732770137
2015-11-06,NFP,neg,-0.7079677400103743
2015-11-17,CPI,neg,0.2872637658371854
2015-12-04,NFP,neg,-0.26056696202075774
2015-12-15,CPI,neg,0.1386798080674251
2016-01-20,CPI,neg,-2.746420377119061
2016-02-05,NFP,neg,0.5461876856829303
2016-02-19,CPI,neg,0.3773673067686936
2016-03-04,NFP,neg,0.43920268730286693
2016-03-16,CPI,neg,33.623824594366205
2016-04-01,NFP,neg,-0.6021188612371162
2016-04-14,CPI,neg,0.3093157439320827
2016-05-06,NFP,neg,0.5006511210288432
2016-05-17,CPI,neg,0.8129616532084135
2016-06-03,NFP,neg,-6.750107233263274
2016-06-16,CPI,neg,-0.54671343392433
2016-07-01,NFP,neg,0.21752163377613787
2016-07-15,CPI,neg,1.2514148981530988
2016-08-05,NFP,neg,-5.442565403433287
2016-08-16,CPI,neg,1.6560729466142576
2016-09-02,NFP,neg,2.24731297060868
2016-09-16,CPI,neg,-0.4168799941463531
2016-10-07,NFP,pos,-0.24872676242583022
2016-10-18,CPI,neg,4.987612304178175
2016-11-04,NFP,pos,0.30432204195795326
2016-11-17,CPI,neg,-2.1043032152997854
2016-12-02,NFP,neg,-0.3872923270966593
2016-12-15,CPI,neg,-0.6239967755048573
2017-01-06,NFP,neg,-1.3654225022782407
2017-01-18,CPI,neg,-3.384874023201842
2017-02-03,NFP,neg,-0.11841195217954713
2017-02-15,CPI,neg,-0.3975653443587206
2017-03-03,NFP,neg,0.3592382924579594
2017-03-15,CPI,neg,17.818780988979814
2017-04-07,NFP,neg,0.706947194182737
2017-05-05,NFP,neg,0.3016728092506878
2017-05-12,CPI,neg,-0.3420473430280685
2017-06-02,NFP,neg,1.0957137763996236
2017-06-14,CPI,neg,-4.407785380169493
2017-07-07,NFP,neg,-0.4161227181986438
2017-07-14,CPI,neg,0.3227995351830124
2017-08-04,NFP,pos,-0.4467616734286761
2017-08-11,CPI,pos,0.4441027494120773
2017-09-01,NFP,neg,-0.06687641011826369
2017-09-14,CPI,neg,0.561263070996283
2017-10-06,NFP,neg,0.22308836867005313
2017-10-13,CPI,neg,3.588666764903568
2017-11-03,NFP,neg,0.041504599404727976
2017-11-15,CPI,neg,-5.501363325276893
2017-12-01,NFP,neg,0.26068644965040755
2017-12-13,CPI,neg,2.934896136142677
2018-01-05,NFP,neg,-0.269124695579652
2018-01-12,CPI,neg,-0.2571507631005895
2018-02-02,NFP,neg,2.1488768600800445
2018-02-14,CPI,neg,-4.131836767781643
2018-03-02,NFP,neg,0.03884334389793605
2018-03-13,CPI,neg,-0.06990672237429546
2018-04-06,NFP,neg,-0.08336102969105309
2018-04-11,CPI,neg,0.2300057162465208
2018-05-04,NFP,neg,-0.02300077436950693
2018-05-10,CPI,neg,0.9700727042472057
2018-06-01,NFP,neg,0.4026288895297493
2018-06-12,CPI,neg,-0.5567713177203828
2018-07-06,NFP,neg,0.3682417940328075
2018-07-12,CPI,neg,0.3522176039778113
2018-08-03,NFP,neg,-0.4095256362742135
